week_number,air_avg,air_obs,soil_obs_02,soil_obs_08,soil_obs_20,soil_avg_02,soil_avg_08,soil_avg_20
340,20.42857143,19.71428571,30.57142857,32.0,32.28571429,30.57142857,32.0,32.28571429
341,24.0,23.57142857,31.0,32.0,32.0,31.0,32.0,32.0
342,18.14285714,17.14285714,31.0,32.0,32.0,31.0,32.0,32.0
343,26.42857143,26.57142857,31.0,31.28571429,32.0,31.0,31.14285714,32.0
344,23.71428571,22.71428571,30.85714286,31.0,32.0,30.85714286,31.0,32.0
345,15.42857143,17.71428571,31.0,31.0,32.0,31.0,31.0,32.0
346,-2.0,-1.714285714,30.28571429,31.0,32.0,30.14285714,31.0,32.0
347,-13.0,-13.14285714,27.0,30.42857143,32.0,26.71428571,30.42857143,32.0
348,-20.14285714,-20.14285714,23.71428571,28.28571429,31.85714286,23.71428571,28.28571429,31.85714286
349,-6.333333333,-5.0,23.42857143,27.0,30.28571429,23.5,27.0,30.16666667
350,-8.714285714,-9.833333333,25.83333333,27.83333333,29.83333333,25.83333333,27.66666667,29.83333333
351,5.857142857,5.285714286,24.71428571,26.71428571,29.0,25.14285714,26.57142857,29.0
352,2.0,1.857142857,25.57142857,27.28571429,29.0,25.71428571,27.14285714,29.0
353,-17.57142857,-17.0,26.85714286,27.85714286,29.28571429,26.85714286,27.85714286,29.42857143
354,-7.285714286,-9.714285714,24.85714286,26.28571429,28.42857143,24.85714286,26.28571429,28.28571429
355,8.857142857,6.0,25.28571429,26.0,28.0,25.42857143,26.0,28.0
356,13.14285714,14.71428571,25.71428571,26.0,28.0,26.0,26.14285714,28.0
357,-9.428571429,-9.0,25.71428571,26.42857143,28.0,25.42857143,26.42857143,27.85714286
358,-14.42857143,-13.0,22.42857143,24.28571429,26.42857143,22.42857143,24.14285714,26.28571429
359,-5.142857143,-5.285714286,21.85714286,22.71428571,25.42857143,21.85714286,22.57142857,25.28571429
360,-1.428571429,-4.285714286,21.14285714,22.0,24.14285714,21.14285714,22.0,24.14285714
361,16.28571429,15.71428571,22.28571429,22.42857143,24.0,22.42857143,22.57142857,24.14285714
362,16.71428571,14.42857143,23.28571429,23.57142857,25.0,23.14285714,23.57142857,25.0
