week_number,air_avg,air_obs,soil_obs_00,soil_obs_02,soil_obs_08,soil_obs_20,soil_avg_00,soil_avg_02,soil_avg_08,soil_avg_20
149,9.957142857,7.057142857,35.0,31.0,32.0,33.0,35.0,31.0,32.0,33.0
150,22.37142857,21.2,35.0,31.0,32.0,32.85714286,35.0,31.0,32.0,32.85714286
151,20.08571429,19.35714286,35.0,31.0,32.0,32.42857143,35.0,31.0,32.0,32.0
152,11.81428571,11.3,35.0,31.0,32.0,32.14285714,35.0,31.0,32.0,32.0
153,9.585714286,8.342857143,35.0,31.0,32.0,32.28571429,35.0,31.0,32.0,32.0
154,24.21428571,22.92857143,35.0,31.0,32.0,32.0,35.0,31.0,32.0,32.0
155,24.7,24.78571429,35.0,31.0,32.0,32.0,35.0,31.0,32.0,32.0
156,16.67142857,13.62857143,35.0,31.0,32.0,32.0,35.0,31.0,32.0,32.0
157,21.25714286,20.85714286,35.0,31.0,32.0,32.0,35.0,31.0,32.0,32.0
158,24.42857143,20.11428571,35.0,31.0,32.0,32.0,35.0,31.0,32.0,32.0
159,29.22857143,26.24285714,35.0,31.0,32.0,32.0,35.0,31.0,32.0,32.0
160,27.97142857,25.58333333,34.66666667,31.0,32.0,32.0,34.5,31.0,32.0,32.0
161,35.71428571,34.97142857,35.0,31.0,32.0,32.0,35.0,31.0,32.0,32.0
162,37.0,33.45714286,35.0,31.0,32.0,32.0,35.0,31.0,32.0,32.0
163,46.2,44.4,35.0,31.71428571,31.57142857,32.0,35.28571429,32.0,32.0,32.0
164,47.28571429,43.55714286,37.0,33.71428571,32.71428571,32.14285714,38.85714286,36.42857143,33.42857143,32.42857143
165,47.77142857,43.84285714,38.42857143,40.14285714,40.28571429,36.71428571,40.57142857,44.0,39.71428571,36.71428571
166,52.42857143,48.32857143,43.28571429,44.14285714,43.57142857,39.85714286,45.28571429,47.57142857,43.28571429,40.0
167,49.18571429,46.82857143,46.28571429,45.28571429,45.42857143,42.14285714,46.85714286,47.85714286,44.57142857,42.14285714
168,51.62857143,48.41428571,46.42857143,45.42857143,45.28571429,42.28571429,47.71428571,48.28571429,45.0,42.42857143
169,58.0,54.47142857,51.28571429,50.0,48.71428571,45.0,52.5,53.16666667,48.66666667,45.0
170,55.82857143,52.82857143,52.42857143,51.42857143,50.42857143,46.57142857,53.57142857,53.85714286,50.14285714,46.71428571
171,58.4,56.65714286,53.85714286,53.14285714,52.28571429,48.57142857,55.0,55.0,51.85714286,48.57142857
172,51.75714286,50.88571429,52.14285714,50.71428571,51.42857143,48.71428571,53.14285714,52.42857143,50.71428571,48.85714286
173,62.85714286,58.47142857,53.71428571,52.57142857,52.28571429,49.14285714,55.57142857,55.28571429,52.14285714,49.0
174,64.11428571,62.47142857,55.28571429,54.28571429,54.71428571,51.0,57.57142857,57.28571429,54.14285714,51.0
175,53.31428571,54.0,54.71428571,53.28571429,53.57142857,51.0,55.28571429,54.42857143,53.0,51.0
176,51.11428571,49.12857143,51.57142857,49.28571429,51.0,49.57142857,52.14285714,51.0,50.42857143,49.42857143
177,50.28571429,49.15714286,50.85714286,49.0,49.71428571,48.57142857,51.14285714,50.0,49.71428571,48.57142857
178,46.44285714,45.44285714,50.0,47.42857143,49.14285714,48.42857143,50.2,48.2,48.8,48.2
179,42.25714286,42.15714286,47.14285714,44.42857143,46.42857143,46.71428571,47.28571429,45.0,46.0,46.57142857
180,45.82857143,43.94285714,45.42857143,42.14285714,44.85714286,45.28571429,46.14285714,43.42857143,44.28571429,45.0
181,47.21428571,45.6,45.85714286,43.0,44.57142857,44.14285714,46.85714286,44.42857143,44.28571429,44.14285714
182,41.95714286,41.47142857,46.14285714,43.28571429,44.42857143,44.14285714,46.0,43.14285714,44.0,44.14285714
183,44.15714286,40.87142857,41.57142857,37.57142857,40.85714286,42.0,42.0,37.85714286,40.28571429,41.85714286
184,36.68571429,35.87142857,38.14285714,34.0,38.0,40.14285714,38.0,34.14285714,37.57142857,40.0
185,38.68571429,37.68571429,36.42857143,32.42857143,34.85714286,37.28571429,36.85714286,33.14285714,35.0,37.28571429
186,39.12857143,38.72857143,37.85714286,33.28571429,35.42857143,37.0,37.71428571,33.42857143,35.28571429,37.0
187,29.48,35.34,37.2,32.8,34.8,36.2,37.2,32.6,34.8,36.2
188,23.91428571,22.37142857,35.0,29.57142857,33.0,35.28571429,34.83333333,29.33333333,32.83333333,35.16666667
189,18.2,17.9,34.28571429,28.85714286,32.0,34.14285714,34.0,29.28571429,32.0,34.0
190,24.25714286,23.95714286,33.85714286,29.85714286,32.0,33.71428571,34.0,30.14285714,32.0,33.71428571
191,21.52857143,19.28571429,34.28571429,30.14285714,32.0,33.0,34.28571429,30.0,32.0,33.0
192,23.88571429,25.31428571,34.28571429,30.0,32.0,33.0,34.0,30.0,32.0,33.0
193,24.22857143,26.52857143,34.57142857,30.28571429,32.0,33.0,34.57142857,30.14285714,32.0,33.0
194,5.042857143,6.042857143,33.85714286,29.28571429,31.71428571,33.0,34.0,29.28571429,32.0,33.0
195,5.8,5.014285714,33.0,28.71428571,31.14285714,33.0,33.14285714,28.57142857,31.0,33.0
196,19.2,16.27142857,33.14285714,28.85714286,31.0,32.57142857,33.14285714,29.14285714,31.0,32.14285714
197,2.585714286,4.414285714,33.71428571,29.0,31.0,32.0,33.57142857,29.0,31.0,32.0
198,2.257142857,0.742857143,32.57142857,28.57142857,31.0,32.0,32.57142857,28.57142857,31.0,32.0
199,5.828571429,5.557142857,33.0,28.85714286,31.0,32.0,32.85714286,28.71428571,31.0,32.0
200,29.64285714,28.71428571,34.14285714,29.57142857,31.0,32.0,34.28571429,29.57142857,31.0,32.0
201,9.7,9.485714286,33.71428571,29.14285714,31.0,32.0,33.85714286,29.14285714,31.0,32.0
202,24.58571429,24.4,34.0,30.0,31.0,32.0,34.0,30.0,31.0,32.0
203,12.01428571,12.9,34.85714286,31.0,31.0,32.0,34.85714286,31.0,31.0,32.0
204,18.84285714,17.15714286,35.0,31.0,31.0,32.0,35.0,31.0,31.0,32.0
205,25.37142857,24.5,35.0,30.14285714,31.0,32.0,35.0,30.0,31.0,32.0
206,30.7,29.35714286,35.0,30.14285714,31.0,32.0,35.0,30.14285714,31.0,32.0
207,34.41428571,34.17142857,35.0,30.57142857,31.0,32.0,35.0,30.42857143,31.0,32.0
208,38.65714286,36.04285714,35.0,31.0,31.0,32.0,35.0,30.85714286,31.0,32.0
209,35.08571429,34.94285714,35.0,31.0,31.0,32.0,35.0,31.0,31.0,32.0
210,27.02857143,23.6,35.0,29.71428571,31.0,32.0,35.0,29.71428571,31.0,32.0
211,37.12857143,34.95714286,35.57142857,31.28571429,31.0,32.0,35.85714286,31.42857143,31.0,32.0
212,31.5,30.44285714,35.71428571,31.71428571,31.0,32.0,36.0,32.0,31.0,32.0
213,38.94285714,33.57142857,36.0,32.0,31.0,32.0,36.0,32.0,31.0,32.0
214,37.11428571,34.92857143,36.0,32.0,31.0,32.0,36.0,32.57142857,31.0,32.0
215,46.55714286,42.95714286,36.14285714,33.42857143,31.0,32.0,38.0,37.28571429,31.0,32.0
